categoria,sku,slug,nombre,marca,descripcion_corta,precio,precio_antes,disponibilidad,garantia_meses,destacado,activo,categorias,medida,potencia_rms_w,impedancia_ohm,bobinas,profundidad_mm,sensibilidad_db,configuracion,canales,clase,formato,pantalla_pulg,carplay,android_auto,salidas_preamp_pares,salidas_preamp_voltaje,tipo_ecualizador,bandas,espesor_mm,cobertura_m2,material_insono,calibre_awg,material_conductor,capacidad_w,tipo_accesorio,longitud_m,spec_1_etiqueta,spec_1_valor,spec_2_etiqueta,spec_2_valor,spec_3_etiqueta,spec_3_valor,spec_4_etiqueta,spec_4_valor,spec_5_etiqueta,spec_5_valor,spec_6_etiqueta,spec_6_valor,spec_7_etiqueta,spec_7_valor,spec_8_etiqueta,spec_8_valor,spec_9_etiqueta,spec_9_valor,spec_10_etiqueta,spec_10_valor
Accesorios,RV6,cerwin-vega-rv6,Cable RCA de 2 canales y 6 pies RV6,Cerwin Vega,Cable de señal RCA de 2 canales y 6 pies con par trenzado dual,80,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,6,Canales,2 canales,Conductor,Cobre libre de oxígeno (OFC),Terminales,Extremos moldeados dobles,Serie,Vega,,,,,,,,,,,,
Accesorios,RVY2F,cerwin-vega-rvy2f,Adaptador Y RCA de 1 macho a 2 hembras RVY2F,Cerwin Vega,Adaptador Y para señal RCA de una entrada macho a dos salidas hembra,80,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Aplicación,Combinar o derivar señal entre equipos,Configuración,1 conector macho a 2 hembras,Serie,Vega,,,,,,,,,,,,,,
Accesorios,RVY2M,cerwin-vega-rvy2m,Adaptador Y RCA de 1 hembra a 2 machos RVY2M,Cerwin Vega,Adaptador Y para señal RCA de una entrada hembra a dos salidas macho,80,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Aplicación,Dividir una salida preamplificada hacia dos amplificadores,Configuración,1 conector hembra a 2 machos,Serie,Vega,,,,,,,,,,,,,,
Accesorios,SB3X,cerwin-vega-sb3x,Restaurador de graves SB3X,Cerwin Vega,Procesador restaurador de graves para realzar las bajas frecuencias del sistema,3400,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Aplicación,Sistemas con radio de fábrica donde los graves llegan recortados,Instalación,En línea entre la fuente y el amplificador,Marca,Cerwin Vega,Función,Refuerza y recupera las bajas frecuencias perdidas en la señal de la fuente,,,,,,,,,,,,
Accesorios,SILENT STRIP,soundskins-silent-strip,Silent Strip - Tira selladora,SoundSkins,Tira de espuma de celda cerrada para sellar uniones entre paneles,100,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Material,Espuma de hule de celda cerrada,Diámetro,"3/8"" de ancho (también disponible en 1/2"", 3/4"" y 1"")",Función,"Crea un sello hermético que bloquea ruido de viento, humedad, frío y calor",Aplicación,"Entre puerta y panel, clips de panel, guantera y uniones de plásticos",Resistencia,"Resistente a la intemperie, temperatura y químicos",,,,,,,,,,
Accesorios,SLMLOCT2,cerwin-vega-slmloct2,Convertidor SYNCLINK Mini LOC de 2 canales con disparo,Cerwin Vega,Convertidor de línea compacto de 2 canales con salida de encendido remoto,350,,agotado,,FALSO,FALSO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Canales,2 canales,Extras,Salida de disparo para encendido remoto del amplificador,Serie,SYNCLINK Mini LOC,,,,,,,,,,,,,,
Accesorios,SMC3,memphis-smc3,Controlador de fuente SMC3,Memphis,Controlador de fuente y volumen para sistemas de audio Memphis,4800,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Aplicación,"Sistemas sin radio convencional, comunes en powersports y uso marino",Función,Selecciona la fuente de audio y ajusta el nivel desde el tablero,Protección,IP66,Marca,Memphis,Entradas,"AM/FM. USB, Bluetooth y AUX",,,,,,,,,,
Accesorios,SPK RINGS V3,soundskins-spk-rings-v3,Rings V3 - Kit de sellado para bocinas,SoundSkins,Kit de anillos de espuma en tiras que se adapta a cualquier tamaño de bocina,600,,disponible,,VERDADERO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Material,"Espuma de hule de celda cerrada, impermeable y de alta recuperación",Espesor,"1"" (25 mm)",Contenido,6 tiras de sellado y 4 paneles de absorción de onda trasera,Compatibilidad,"Cualquier tamaño y forma de bocina, de 1"" a 6x9""",Adhesivo,"3M de alto poder, se adhiere a cualquier superficie incluidos otros productos SoundSkins",Función,Sella la bocina al panel de la puerta para que el sonido no se pierda dentro,Rendimiento,Alcanza para 6 bocinas o más,Ventaja,Celda cerrada en vez de celda abierta: no absorbe agua ni se despega con el tiempo,,,,
Accesorios,UTPF-17,memphis-utpf-17,Cable RCA de 2 canales UTPF de 17 pies UTPF-17,Memphis,Cable de interconexión RCA premium de 2 canales y 17 pies con hiper trenzado,300,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,17,Canales,2 canales,Construcción,Tecnología True Twist de hiper trenzado para máximo rechazo de ruido,Conectores,Metálicos maquinados con acabado cromo satinado y punta dividida de níquel,Forro,"Translúcido esmerilado de una sola capa, suave y maleable",Extras,Alivio de tensión moldeado integrado,Línea,"Memphis Connection UTPF, la línea de mayor calidad de la marca",,,,,,,,
Accesorios,UTPF-17.4,memphis-utpf-17-4,Cable RCA de 4 canales UTPF de 17 pies UTPF-17.4,Memphis,Cable de interconexión RCA premium de 4 canales y 17 pies con hiper trenzado,600,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,17,Canales,4 canales,Construcción,Tecnología True Twist de hiper trenzado para máximo rechazo de ruido,Conectores,Metálicos maquinados con acabado cromo satinado y punta dividida de níquel,Forro,"Translúcido esmerilado de una sola capa, suave y maleable",Extras,Alivio de tensión moldeado integrado,Línea,"Memphis Connection UTPF, la línea de mayor calidad de la marca",,,,,,,,
Accesorios,UTPF-21.4,memphis-utpf-21-4,Cable RCA de 4 canales UTPF 21 pies UTPF-21.4,Memphis,Cable de interconexión RCA premium de 4 canales y 21 pies con hiper trenzado,650,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,21,Canales,4 canales,Construcción,Tecnología True Twist de hiper trenzado para máximo rechazo de ruido,Conectores,Metálicos maquinados con acabado cromo satinado y punta dividida de níquel,Forro,"Translúcido esmerilado de una sola capa, suave y maleable",Extras,Alivio de tensión moldeado integrado,Línea,"Memphis Connection UTPF, la línea de mayor calidad de la marca",,,,,,,,
Accesorios,UTPF-3,memphis-utpf-3,Cable RCA de 2 canales UTPF de 3 pies UTPF-3,Memphis,Cable de interconexión RCA premium de 2 canales y 3 pies con hiper trenzado,250,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,3,Canales,2 canales,Construcción,Tecnología True Twist de hiper trenzado para máximo rechazo de ruido,Conectores,Metálicos maquinados con acabado cromo satinado y punta dividida de níquel,Forro,"Translúcido esmerilado de una sola capa, suave y maleable",Extras,Alivio de tensión moldeado integrado,Línea,"Memphis Connection UTPF, la línea de mayor calidad de la marca",,,,,,,,
Accesorios,UTPF-35R3,memphis-utpf-35r3,Cable UTPF de 3 pies - 3.5 mm a RCA UTPF-35R3,Memphis,Cable de interconexión premium de 3 pies con plug de 3.5 mm a RCA,125,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,3,Aplicación,Conectar teléfono o reproductor portátil a la entrada auxiliar del sistema,Línea,Memphis Connection UTPF,Construcción,Tecnología True Twist de hiper trenzado para rechazo de ruido,Conectores,Metálicos maquinados con acabado cromo satinado,,,,,,,,,,,,
Accesorios,UTPF-35R6,memphis-utpf-35r6,Cable UTPF de 6 pies - 3.5 mm a RCA UTPF-35R6,Memphis,Cable de interconexión premium de 6 pies con plug de 3.5 mm a RCA,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,6,Aplicación,Conectar teléfono o reproductor portátil a la entrada auxiliar del sistema,Línea,Memphis Connection UTPF,Construcción,Tecnología True Twist de hiper trenzado para rechazo de ruido,Conectores,Metálicos maquinados con acabado cromo satinado,,,,,,,,,,,,
Amplificadores,CM-1200X4,kbt-cm-1200x4,Amplificador marino de 4 canales CM-1200X4,KBT,Amplificador marino de 4 canales con certificación IP68 para embarcaciones y todoterreno,3300,,disponible,,FALSO,VERDADERO,,,600,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia máxima,"1,200 W",Protección,IP68,Protección ambiental,"IP68, resistente a agua y polvo",Aplicación,"Bocinas en embarcaciones, UTV, cuatrimotos y vehículos todoterreno",Línea,CM Marine,,,,,,,,,,
Amplificadores,CM-1500X1,kbt-cm-1500x1,Amplificador marino monoblock CM-1500X1,KBT,Amplificador marino monoblock clase D con certificación IP68 para embarcaciones y todoterreno,3800,,disponible,,FALSO,VERDADERO,,,1500,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia máxima,"1,500 W",Protección,IP68,Protección ambiental,"IP68, resistente a agua y polvo",Aplicación,"Embarcaciones, UTV, cuatrimotos y vehículos todoterreno",Línea,CM Marine,,,,,,,,,,
Amplificadores,CM-3000X5,kbt-cm-3000x5,Amplificador marino de 5 canales CM-3000X5,KBT,Amplificador marino de 5 canales con certificación IP68 para sistema completo con subwoofer,4000,,disponible,,FALSO,VERDADERO,,,1500,,,,,,5,D,,,,,,,,,,,,,,,,,Potencia máxima,"3,000 W",Protección,IP68,Protección ambiental,"IP68, resistente a agua y polvo",Aplicación,"Sistema completo con subwoofer en embarcaciones, UTV y todoterreno",Línea,CM Marine,,,,,,,,,,
Amplificadores,COR-1.2K,kbt-cor-1-2k,Amplificador Coronel monoblock COR-1.2K,KBT,Amplificador monoblock clase D de rango completo de la línea Coronel,2800,,disponible,,FALSO,VERDADERO,,,1200,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia máxima,"2,400 W",Línea,Coronel,Protecciones,"Térmica, bajo voltaje y cortocircuito",Construcción,Chasis de aluminio con nanotecnología y control remoto de ganancia,,,,,,,,,,,,
Amplificadores,COR-1.2K4,kbt-cor-1-2k4,Amplificador Coronel de 4 canales COR-1.2K4,KBT,Amplificador de 4 canales clase D de rango completo de la línea Coronel,3300,,disponible,,FALSO,VERDADERO,,,1200,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia máxima,"2,400 W",Línea,Coronel,Construcción,Chasis de aluminio con nanotecnología,Protecciones,"Térmica, bajo voltaje y cortocircuito",,,,,,,,,,,,
Amplificadores,COR-3K,kbt-cor-3k,Amplificador Coronel monoblock COR-3K,KBT,"Amplificador monoblock clase D de rango completo con 3,000 W RMS a 1 ohm",4000,,disponible,,FALSO,VERDADERO,,,3000,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,"3,000 W @ 1 Ω · 1,600 W @ 2 Ω · 900 W @ 4 Ω",Potencia máxima,"6,000 W @ 1 Ω",Filtros,Pasa bajos 10 – 90 Hz · Pasa altos 90 Hz – 10 kHz,Refuerzo de graves,"0 – 10 dB, frecuencia ajustable de 35 a 55 Hz",Respuesta en frecuencia,20 Hz – 10 kHz,Relación señal/ruido,92 dB,Protecciones,"Térmica, bajo voltaje y cortocircuito, con indicador LED",Dimensiones,"222 × 213 × 70 mm, chasis de aluminio con control remoto de ganancia",,,,
Amplificadores,D1-1500MD,kbt-d1-1500md,Amplificador Delta monoblock D1-1500MD,KBT,Amplificador monoblock clase D con 600 W RMS a 1 ohm y control remoto de ganancia,1950,,disponible,,FALSO,VERDADERO,,,600,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,600 W @ 1 Ω · 400 W @ 2 Ω · 250 W @ 4 Ω,Potencia máxima,"1,500 W @ 1 Ω · 1,000 W @ 2 Ω · 600 W @ 4 Ω",Filtros,Pasa bajos 40 – 180 Hz · Subsónico 15 – 50 Hz,Respuesta en frecuencia,20 Hz – 250 Hz,Refuerzo de graves,0 – 12 dB,Distorsión armónica (THD),0.01 % @ 4 Ω,Relación señal/ruido,91 dB,Dimensiones,"219 × 150 × 50 mm, chasis de aluminio con control remoto de ganancia",,,,
Amplificadores,D1-2500MD,kbt-d1-2500md,Amplificador Delta monoblock D1-2500MD,KBT,Amplificador monoblock clase D con 800 W RMS a 1 ohm y control remoto de ganancia,2200,,disponible,,VERDADERO,VERDADERO,,,800,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,800 W @ 1 Ω · 500 W @ 2 Ω · 300 W @ 4 Ω,Potencia máxima,"2,500 W @ 1 Ω · 1,500 W @ 2 Ω · 900 W @ 4 Ω",Filtros,Pasa bajos 40 – 180 Hz · Subsónico 15 – 50 Hz,Respuesta en frecuencia,20 Hz – 250 Hz,Refuerzo de graves,0 – 12 dB,Distorsión armónica (THD),0.01 % @ 4 Ω,Relación señal/ruido,91 dB,Dimensiones,"282 × 150 × 50 mm, chasis de aluminio con nanotecnología",,,,
Amplificadores,D4-1000MD,kbt-d4-1000md,Amplificador Delta de 4 canales D4-1000MD,KBT,Amplificador de 4 canales clase D con 300 W RMS por par en puente,2000,,disponible,,FALSO,VERDADERO,,,300,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,300 W × 2 @ 4 Ω en puente,Potencia máxima,"1,000 W @ 4 Ω en puente",Construcción,Chasis de aluminio con nanotecnología,Protecciones,"Térmica, bajo voltaje y cortocircuito",Línea,Delta,,,,,,,,,,
Amplificadores,D4-1500MD,kbt-d4-1500md,Amplificador Delta de 4 canales D4-1500MD,KBT,Amplificador de 4 canales clase D con 450 W RMS por par en puente,2600,,disponible,,VERDADERO,VERDADERO,,,450,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,450 W × 2 @ 4 Ω en puente,Potencia máxima,"1,500 W @ 4 Ω en puente",Construcción,Chasis de aluminio con nanotecnología,Protecciones,"Térmica, bajo voltaje y cortocircuito",Línea,Delta,,,,,,,,,,
Amplificadores,D5-1500MD,kbt-d5-1500md,Amplificador Delta de 5 canales D5-1500MD,KBT,Amplificador de 5 canales clase D con 360 W RMS por par en puente,3400,,disponible,,FALSO,VERDADERO,,,360,,,,,,5,D,,,,,,,,,,,,,,,,,Potencia RMS,360 W × 2 @ 4 Ω en puente,Potencia máxima,"1,500 W @ 1 Ω",Aplicación,Sistema completo: cuatro bocinas más un subwoofer con un solo equipo,Construcción,Chasis de aluminio con nanotecnología,Protecciones,"Térmica, bajo voltaje y cortocircuito",Línea,Delta,,,,,,,,
Amplificadores,M2-300X4,rockford-fosgate-m2-300x4,Amplificador Marine de 4 canales M2-300X4,Rockford Fosgate,Amplificador marino de 4 canales resistente a la intemperie,5300,,disponible,,VERDADERO,VERDADERO,,,300,,,,,,4,D,,,,,,,,,,,,,,,,,Protección ambiental,"Element Ready: circuito con recubrimiento conformal, disipador de aluminio con protección UV y terminales de latón niquelado grado marino",Ajuste de ganancia,C.L.E.A.N. con LED indicadores de recorte,,,,,,,,,,,,,,,,
Amplificadores,M2-500X1,rockford-fosgate-m2-500x1,Amplificador Marine monoblock M2-500X1,Rockford Fosgate,Amplificador marino monoblock resistente a la intemperie,5300,,disponible,,VERDADERO,VERDADERO,,,500,,,,,,1,D,,,,,,,,,,,,,,,,,Protección ambiental,"Element Ready con circuito impreso con recubrimiento conformal, protección UV y terminales grado marino",Ajuste de ganancia,C.L.E.A.N. con LED indicadores de recorte,,,,,,,,,,,,,,,,
Amplificadores,M2-750X5,rockford-fosgate-m2-750x5,Amplificador Marine  de 5 canales M2-750X5,Rockford Fosgate,Amplificador marino de 5 canales resistente a la intemperie,8500,,disponible,,VERDADERO,VERDADERO,,,750,,,,,,5,D,,,,,,,,,,,,,,,,,Potencia RMS,50 W × 4 + 200 W × 1 @ 4 Ω · 100 W × 4 + 350 W × 1 @ 2 Ω,Potencia total,750 W,Puenteado,200 W × 2 @ 4 Ω,Protección ambiental,"Element Ready: circuito con recubrimiento conformal, protección UV, herrajes de acero inoxidable y terminales grado marino",Filtros,"Pasa altos, pasa bajos e infrasónico, con Punch EQ",Ajuste de ganancia,C.L.E.A.N. con LED indicadores de recorte,Entradas,"Nivel alto y nivel bajo, compatible con radio original",Dimensiones,285 × 173 × 49 mm,,,,
Amplificadores,M5-1500X5,rockford-fosgate-m5-1500x5,Amplificador Marine de 5 canales M5-1500X5,Rockford Fosgate,Amplificador marino de 5 canales resistente a la intemperie,14500,,disponible,,FALSO,VERDADERO,,,1500,,,,,,5,D,,,,,,,,,,,,,,,,,Potencia RMS,100 W × 4 + 400 W × 1 @ 4 Ω · 100 W × 4 + 600 W × 1 @ 2 Ω · N/A x 4 + 600W x 1 @ 1Ω · 200W x 2 + N/A x 1 @ 4Ω puenteado,Potencia total,"1,500 W",Puenteado,200 W × 2 @ 4 Ω,Respuesta en frecuencia,10 Hz – 50 kHz,Protección ambiental,"Element Ready con sellos de panel, disipador de aluminio con recubrimiento UV, grado IPX6",Filtros,"Pasa altos, pasa bajos e infrasónico, con Punch EQ",Ajuste de ganancia,C.L.E.A.N. con LED indicadores de recorte,Entradas,"Nivel alto y nivel bajo, compatible con radio original",,,,
Amplificadores,MJP1000.1,memphis-mjp1000-1,Amplificador MOJO Pro monoblock MJP1000.1,Memphis,Amplificador monoblock clase D para subwoofer,5200,,disponible,,FALSO,VERDADERO,,,1000,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,"1,000 W @ 1 Ω",Impedancia mínima,1 Ω,Crossover,Butterworth variable de 12 dB/oct con refuerzo de graves variable,Modo strap,Dos unidades se pueden acoplar para duplicar la salida,Incluye,Control remoto de graves,Disipador,Aluminio extruido con acentos expuestos y franja naranja MOJO,,,,,,,,
Amplificadores,MJP1500.1,memphis-mjp1500-1,Amplificador MOJO Pro monoblock MJP1500.1,Memphis,Amplificador monoblock clase D de alta potencia para subwoofer,6500,,disponible,,VERDADERO,VERDADERO,,,1500,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,"675 W @ 4 Ω · 1,050 W @ 2 Ω · 1,500 W @ 1 Ω",Impedancia mínima,1 Ω,Distorsión armónica (THD),Menor a 1 %,Respuesta en frecuencia,11 Hz – 20 kHz,Crossover,Butterworth variable de 12 dB/oct con refuerzo de graves variable,Modo strap,Dos unidades se pueden acoplar para duplicar la salida,Sensibilidad de entrada,200 mV – 6 V bajo nivel · 3 V – 20 V alto nivel,Dimensiones,"11"" × 7.5"" × 2"" (279 × 191 × 51 mm)",,,,
Amplificadores,MJP800.4,memphis-mjp800-4,Amplificador MOJO Pro de 4 canales MJP800.4,Memphis,"Amplificador de 4 canales para bocinas, puenteable a dos canales",5200,,disponible,,VERDADERO,VERDADERO,,,800,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,125 W × 4 @ 4 Ω · 200 W × 4 @ 2 Ω,Puenteado,400 W × 2 @ 4 Ω,Distorsión armónica (THD),Menor a 1 %,Relación señal/ruido,Mayor a 80 dB,Respuesta en frecuencia,10 Hz – 25 kHz,Crossover,"Butterworth variable de 12 dB/oct con refuerzo de EQ de 0, 6 o 12 dB",Sensibilidad de entrada,400 mV – 7.5 V bajo nivel · 3 V – 20 V alto nivel,Dimensiones,"8.7"" × 7.5"" × 2"" (221 × 191 × 51 mm)",,,,
Amplificadores,MX400.4,memphis-mx400-4,Amplificador powersports de 4 canales MX400.4,Memphis,Amplificador de 4 canales con certificación IP66 para vehículos utilitarios y motocicletas,4000,,disponible,,FALSO,VERDADERO,,,400,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,75 W × 4 @ 4 Ω · 100 W × 4 @ 2 Ω,Protección,IP66,Puenteado,200 W × 2 @ 4 Ω,Protección ambiental,"IP66, resistente al agua y a los elementos, circuito con recubrimiento conformal y conectores sellados",Entradas,Alto y bajo nivel con selector de 2 o 4 entradas,Controles,Montados en la parte superior,Diseño,"Compacto, pensado para instalaciones side-by-side de espacio limitado",,,,,,
Amplificadores,MX800.4,memphis-mx800-4,Amplificador powersports de 4 canales MX800.4,Memphis,Amplificador de 4 canales con certificación IP66 para vehículos utilitarios y motocicletas,5600,,disponible,,VERDADERO,VERDADERO,,,800,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,125 W × 4 @ 4 Ω · 200 W × 4 @ 2 Ω,Protección,IP66,Puenteado,400 W × 2 @ 4 Ω,Distorsión armónica (THD),Menor a 1 %,Relación señal/ruido,Mayor a 80 dB,Respuesta en frecuencia,10 Hz – 20 kHz,Protección ambiental,"IP66, resistente al agua y a los elementos, circuito con recubrimiento conformal y conectores sellados",Sensibilidad de entrada,"300 mV – 9.7 V, alto y bajo nivel con selector de 2 o 4 entradas",,,,
Amplificadores,P400X4,rockford-fosgate-p400x4,Amplificador Punch de 4 canales P400X4,Rockford Fosgate,"Amplificador de 4 canales para bocinas, puenteable a dos canales",5200,,disponible,,FALSO,VERDADERO,,,400,,,,,,4,AB,,,,,,,,,,,,,,,,,Potencia RMS,50 W × 4 @ 4 Ω · 100 W × 4 @ 2 Ω · 200 W × 2 @ 4 Ω puenteado,Potencia total,400 W,Crossover,"Ajustable, alta y baja",Punch EQ,No,,,,,,,,,,,,
Amplificadores,PBR300X1,rockford-fosgate-pbr300x1,Amplificador Punch monoblock compacto PBR300X1,Rockford Fosgate,Amplificador monoblock compacto de 300 W RMS a 1 ohm con tecnología Boosted Rail,3950,,disponible,,FALSO,VERDADERO,,,300,,,,,,1,BR,,,,,,,,,,,,,,,,,Potencia RMS,75 W @ 4 Ω · 150 W @ 2 Ω · 300 W @ 1 Ω,Respuesta en frecuencia,20 Hz – 250 Hz (±3 dB),Filtro pasa bajos,35 – 250 Hz a 12 dB/oct,Filtro infrasónico,"12 dB/oct, −3 dB a 28 Hz",Punch EQ,0 a +18 dB a 45 Hz,Entradas,"Nivel alto con encendido automático y RCA diferenciales, con paso de RCA",Ajuste de ganancia,C.L.E.A.N. con LED indicadores,Dimensiones,"108 × 39 × 172 mm, chasis ultracompacto",,,,
Amplificadores,PBR400X4D,rockford-fosgate-pbr400x4d,Amplificador Punch de 4 canales compacto PBR400X4D,Rockford Fosgate,Amplificador de 4 canales clase D compacto de 400 W RMS con tecnología Boosted Rail,3950,,disponible,,FALSO,VERDADERO,,,400,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,50 W × 4 @ 4 Ω · 100 W × 4 @ 2 Ω,Puenteado,200 W × 2 @ 4 Ω,Potencia total,400 W RMS bajo norma CEA-2006,Crossover,Butterworth de 12 dB/oct seleccionable,Entradas,Nivel alto con encendido automático por offset DC variable y RCA diferenciales,Ajuste de ganancia,C.L.E.A.N. con detección de recorte en entrada y salida,Dimensiones,171 × 108 × 38 mm,Aplicación,"Instalaciones compactas, motocicletas, UTV y vehículos eléctricos o híbridos",,,,
Amplificadores,PRX1000.1V2,memphis-prx1000-1v2,Amplificador Power Reference monoblock PRX1000.1V2,Memphis,Amplificador monoblock clase D para subwoofer,5000,,disponible,,FALSO,VERDADERO,,,1000,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,"400 W @ 4 Ω · 750 W @ 2 Ω · 1,000 W @ 1 Ω",Impedancia mínima,1 Ω,Distorsión armónica (THD),Menor a 1 %,Relación señal/ruido,Mayor a 80 dB,Respuesta en frecuencia,10 Hz – 250 Hz (±0.5 dB),Crossover,"Pasa bajos 50 – 250 Hz, Butterworth de 18 dB/oct, con subsónico variable",Sensibilidad de entrada,200 mV – 6 V,Dimensiones,"8.6"" × 5.7"" × 2.16"" (218 × 145 × 55 mm)",,,,
Amplificadores,PRX1500.1V2,memphis-prx1500-1v2,Amplificador Power Reference monoblock PRX1500.1V2,Memphis,Amplificador monoblock clase D de alta potencia para subwoofer,6200,,disponible,,VERDADERO,VERDADERO,,,1500,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,"500 W @ 4 Ω · 1,000 W @ 2 Ω · 1,500 W @ 1 Ω",Impedancia mínima,1 Ω,Distorsión armónica (THD),Menor a 1 %,Relación señal/ruido,Mayor a 85 dB,Respuesta en frecuencia,10 Hz – 250 Hz (±0.5 dB),Crossover,"Pasa bajos 50 – 250 Hz, Butterworth de 18 dB/oct, con subsónico variable",Sensibilidad de entrada,200 mV – 6 V,Dimensiones,"10.92"" × 5.7"" × 2.16"" (277 × 145 × 55 mm)",,,,
Amplificadores,PRX500.4V2,memphis-prx500-4v2,Amplificador Power Reference de 4 canales PRX500.4V2,Memphis,"Amplificador de 4 canales para bocinas, puenteable a dos canales",4000,,disponible,,VERDADERO,VERDADERO,,,500,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,75 W × 4 @ 4 Ω · 125 W × 4 @ 2 Ω,Puenteado,250 W × 2 @ 4 Ω,Distorsión armónica (THD),Menor a 1 %,Relación señal/ruido,Mayor a 83 dB,Respuesta en frecuencia,10 Hz – 27 kHz (±0.5 dB),Crossover,"Pasa altos y pasa bajos 50 – 250 Hz, Butterworth de 12 dB/oct",Sensibilidad de entrada,200 mV – 6 V,Dimensiones,"8.6"" × 5.7"" × 2.16"" (218 × 145 × 55 mm)",,,,
Amplificadores,PRX800.5V2,memphis-prx800-5v2,Amplificador Power Reference de 5 canales PRX800.5V2,Memphis,Amplificador de 5 canales para sistema completo con subwoofer,6700,,disponible,,FALSO,VERDADERO,,,800,,,,,,5,D,,,,,,,,,,,,,,,,,Potencia RMS,70 W × 4 + 250 W × 1 @ 4 Ω · 100 W × 4 + 400 W × 1 @ 2 Ω,Puenteado,200 W × 2 + 400 W × 1 @ 2 Ω,Distorsión armónica (THD),Menor a 1 %,Relación señal/ruido,Mayor a 80 dB,Respuesta en frecuencia,10 Hz – 21 kHz canales full range · 10 Hz – 250 Hz canal de subwoofer,Crossover,"Pasa altos y pasa bajos 50 – 250 Hz, Butterworth de 12 dB/oct",Sensibilidad de entrada,200 mV – 6 V,Dimensiones,"10.13"" × 5.7"" × 2.16"" (257 × 145 × 55 mm)",,,,
Amplificadores,R2-1200X1,rockford-fosgate-r2-1200x1,Amplificador Prime monoblock R2-1200X1,Rockford Fosgate,Amplificador monoblock clase D de alta potencia para subwoofer,6000,,disponible,,FALSO,VERDADERO,,,1200,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,"400 W @ 4 Ω · 800 W @ 2 Ω · 1,200 W @ 1 Ω",Potencia total,"1,200 W",Crossover,24 dB/oct pasa bajos 50 – 250 Hz · Infrasónico 15 – 40 Hz,Punch EQ,0 a +18 dB @ 45 Hz,Relación señal/ruido,> 75 dB,Voltaje de operación,9 – 16 V CC,Fusible recomendado,200 A,Dimensiones,285 × 173 × 49 mm,,,,
Amplificadores,R2-250X1,rockford-fosgate-r2-250x1,Amplificador Prime monoblock R2-250X1,Rockford Fosgate,Amplificador monoblock clase D compacto para subwoofer,2500,,disponible,,VERDADERO,VERDADERO,,,250,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,150 W @ 4 Ω · 250 W @ 2 Ω,Potencia total,250 W,Crossover,24 dB/oct pasa bajos 50 – 250 Hz · Infrasónico 15 – 40 Hz,Punch EQ,0 a +18 dB @ 45 Hz,Relación señal/ruido,> 80 dB,Voltaje de operación,9 – 16 V CC,Fusible recomendado,50 A,Dimensiones,205 × 173 × 49 mm,,,,
